date,year,month_day,spy,vix,sp20vol,next_20_vix,next_20_move,last_20_move,imp_v_hist,vol_diff_p,spy_50_ma,spy_v_ma
6/11/2007,2007,6/11,151.3,14.71,0.108119276,4.144073029018826,6.269982492905484,0.4399999999999977,-5.063748742483519,-92.00544900235667,149.2514,1.0137258343975335
6/12/2007,2007,6/12,149.65,16.67,0.114624803,4.696240475441457,7.027923871498141,0.8799999999999955,-5.040020455671335,-85.13518649826686,149.40439999999998,1.0016438605556464
6/13/2007,2007,6/13,151.89,14.73,0.127008834,4.149707390717016,6.302990555760075,1.3199999999999932,-4.6228027154798825,-77.78825811326963,149.599,1.015314273491133
6/14/2007,2007,6/14,152.86,13.64,0.12447439,3.8426346781656555,5.873851369044022,1.2600000000000193,-4.505642325757921,-78.14640713366863,149.7824,1.0205471403849853
6/15/2007,2007,6/15,153.07,13.94,0.126284329,3.927150103638507,6.011288663639463,1.7699999999999818,-3.9884951379438043,-69.26280290944199,149.9668,1.0206925799576971
6/18/2007,2007,6/18,152.89,13.42,0.124461877,3.780656699485564,5.780246027843479,0.2699999999999818,-5.21626588157022,-95.07861985130938,150.1398,1.0183175946684355
6/19/2007,2007,6/19,153.27,12.85,0.124488477,3.6200773910871455,5.548492617319268,0.7300000000000182,-4.985445797388746,-87.2275929843734,150.3164,1.019649219912132
6/20/2007,2007,6/20,151.14,14.67,0.133943299,4.132804305622446,6.246320427517763,1.2800000000000011,-4.310719059348267,-77.10491286698252,150.447,1.0046062733055494
6/21/2007,2007,6/21,151.98,14.21,0.135860357,4.003213986564074,6.084084616780078,0.46000000000000796,-5.225931883941297,-91.9098573569061,150.6062,1.0091218024224766
6/22/2007,2007,6/22,150.55,15.75,0.139323645,4.437059837324711,6.679993585092353,0.5099999999999909,-5.481931814025339,-91.48855467937348,150.724,0.9988455720389587
6/25/2007,2007,6/25,149.83,16.65,0.138109156,4.690606113743266,7.027935140221537,1.8599999999999852,-3.8406910944097286,-67.37237697682018,150.8142,0.9934740893098927
6/26/2007,2007,6/26,148.29,18.89,0.138179792,5.321654623940559,7.891481641841454,3.950000000000017,-1.8528493966680912,-31.92999283648416,150.846,0.9830555666043513
6/27/2007,2007,6/27,150.4,15.53,0.139089669,4.37508185864462,6.580123115401509,3.079999999999984,-2.4674471615061853,-44.47896644474314,150.91219999999998,0.9966059735395815
6/28/2007,2007,6/28,150.38,15.54,0.139045692,4.377899039493715,6.583484575590648,2.9399999999999977,-2.696688689571465,-47.84171768365807,150.97439999999997,0.9960629086785575
6/29/2007,2007,6/29,150.43,16.23,0.138029526,4.572284518081275,6.878087600549661,3.6500000000000057,-1.8974302584210694,-34.20376949382543,151.0384,0.9959718852953952
7/2/2007,2007,7/2,151.79,15.4,0.14393911,4.338458507606385,6.5853461686957315,2.3100000000000023,-3.4595553899573304,-59.962252827646644,151.1018,1.0045545453462499
7/3/2007,2007,7/3,152.34,15.29,0.143527069,4.307469518266339,6.561999064126942,1.1500000000000057,-4.743735876631183,-80.48775812028182,151.1874,1.0076236511772807
7/5/2007,2007,7/5,152.18,15.48,0.139794231,4.3609959543991454,6.63656364340462,0.3400000000000034,-6.020802205682437,-94.65476226102011,151.2686,1.0060250441929126
7/6/2007,2007,7/6,152.98,14.72,0.123034811,4.146890209867921,6.343912643055945,3.8799999999999955,-3.2859107980772446,-45.85475441529249,151.3386,1.01084587805094
7/9/2007,2007,7/9,153.0,15.16,0.117193264,4.270846167228104,6.534394635858999,1.960000000000008,-4.3545238124381775,-68.96044645299698,151.4056,1.010530654084129
7/10/2007,2007,7/10,150.92,17.57,0.128720348,4.949786751860012,7.47021816590713,0.3800000000000239,-5.88998249290546,-93.93937701692157,151.4334,0.9966097307463213
7/11/2007,2007,7/11,151.99,16.64,0.123625742,4.687788932894172,7.124970399105853,2.3400000000000034,-4.687923871498137,-66.70424946562225,151.5074,1.0031853229611227
7/12/2007,2007,7/12,154.39,15.54,0.13015511,4.377899039493715,6.759038327074347,2.5,-3.8029905557600747,-60.336288339900165,151.6218,1.0182572690734444
7/13/2007,2007,7/13,154.85,15.15,0.129643191,4.268028986379009,6.609042885407895,1.9899999999999807,-3.8838513690440415,-66.12103584221512,151.72799999999998,1.0205762944215966
7/16/2007,2007,7/16,154.83,15.59,0.128320909,4.391984943739191,6.800110288391389,1.7600000000000193,-4.251288663639444,-70.72175204884525,151.81759999999997,1.0198422317307088
7/17/2007,2007,7/17,154.75,15.63,0.128176219,4.403253667135571,6.814035049892296,1.8600000000000136,-3.920246027843465,-67.82143889653861,151.8942,1.018801244550483
7/18/2007,2007,7/18,154.47,16.0,0.128450197,4.507489358552088,6.96271881215541,1.1999999999999886,-4.3484926173192795,-78.37250434011096,151.9646,1.0164867344105142
7/19/2007,2007,7/19,155.07,15.23,0.117835671,4.290566433171769,6.6533813679194616,3.930000000000007,-2.3163204275177565,-37.08295874981623,152.051,1.0198551801698115
7/20/2007,2007,7/20,153.5,16.95,0.12565345,4.775121539216118,7.329811562696742,1.5200000000000102,-4.564084616780068,-75.01678402355209,152.09779999999998,1.0092190682573976
7/23/2007,2007,7/23,153.97,16.81,0.116148988,4.735681007328787,7.2915280469841335,3.4199999999999875,-3.2599935850923654,-48.80234604367955,152.1856,1.0117251566508263
7/24/2007,2007,7/24,151.3,18.55,0.137656037,5.225870475071328,7.906742028782919,1.4699999999999989,-5.557935140221538,-79.08347230487303,152.1944,0.9941233054567055
7/25/2007,2007,7/25,151.61,18.1,0.137685109,5.09909733686205,7.730741472416554,3.3200000000000216,-4.571481641841433,-57.92931985804748,152.21599999999998,0.9960188153676357
7/26/2007,2007,7/26,148.02,20.74,0.158619585,5.842833081023144,8.64856152653046,2.3799999999999955,-4.200123115401514,-63.83046398585854,152.165,0.9727598330759374
7/27/2007,2007,7/27,145.11,24.17,0.167574924,6.809126112262748,9.880722901504475,5.269999999999982,-1.3134845755906666,-19.95120609017034,152.0352,0.9544500221001453
7/30/2007,2007,7/30,147.38,20.87,0.172708449,5.879456432061381,8.665142889572063,3.0500000000000114,-3.82808760054965,-55.656278647043244,151.95680000000002,0.9698809135227906
7/31/2007,2007,7/31,145.72,23.52,0.171737352,6.6260093570715695,9.65542083512469,6.069999999999993,-0.5153461686957383,-7.825650398539426,151.8188,0.9598284270459257
8/1/2007,2007,8/1,146.43,23.67,0.173823095,6.668267069807996,9.764343470319849,5.909999999999997,-0.6519990641269455,-9.93598227849934,151.69660000000002,0.9652820168678796
8/2/2007,2007,8/2,147.6,21.22,0.1750946,5.978057761779707,8.823613256386846,4.5800000000000125,-2.0565636434046075,-30.988381245291137,151.6002,0.9736134912750775
8/3/2007,2007,8/3,143.8,25.16,0.194770232,7.088027016323159,10.192582849472704,9.179999999999978,2.8360873569440335,44.70564959699466,151.4274,0.9496299877036785
8/6/2007,2007,8/6,146.21,22.6,0.217440317,6.366828718954825,9.30894026998385,6.789999999999992,0.255605364140993,3.9116915702994053,151.3304,0.9661641018592432
8/7/2007,2007,8/7,147.77,21.56,0.214348994,6.073841910648938,8.975316191365938,3.1499999999999773,-4.320218165907153,-57.83255682710755,151.25199999999998,0.9769788168090341
8/8/2007,2007,8/8,149.83,21.45,0.219817657,6.042852921308893,9.054006531997116,2.1599999999999966,-4.964970399105856,-69.68408457849782,151.2038,0.9909142495096024
